Gender,Attendance Rate (%),Course Engagement (%),Previous Academic Performance (%),Study Hours,Extracurricular,Mother Qualification,Father Qualification,Health Issues,Disciplinary Actions,Learning Disabilities,Socioeconomic Status,Risk
1,75,41,31,12,1,0,2,1,1,0,1,1
0,70,78,88,12,0,0,0,0,0,1,0,0
1,57,83,99,4,0,2,0,1,0,0,2,0
1,59,54,77,9,0,2,1,1,1,1,1,0
0,58,96,76,16,0,2,2,0,1,0,0,0
0,87,71,79,3,1,1,2,1,0,1,0,0
0,84,45,59,16,1,2,2,1,0,0,1,1
1,90,51,44,2,0,0,0,1,0,1,2,0
1,51,80,38,3,1,2,2,0,1,1,1,0
1,90,45,33,3,0,1,1,1,1,1,0,0
1,60,32,85,17,0,2,1,1,0,0,1,0
0,75,30,76,2,0,2,1,0,0,1,2,0
1,63,38,47,13,1,2,1,0,1,1,0,0
0,93,76,33,14,0,2,0,1,1,0,0,0
1,82,47,66,9,1,2,2,0,0,1,0,0
0,93,38,97,14,0,2,1,1,0,1,2,0
1,86,55,43,8,0,1,1,1,0,0,2,0
1,74,53,41,13,0,0,0,0,0,0,1,0
1,67,62,43,9,0,0,2,0,1,1,0,0
0,79,66,55,18,0,1,0,0,0,0,2,0
1,75,54,42,19,1,1,2,0,0,0,2,0
0,78,40,66,3,0,0,0,1,1,0,2,0
1,68,50,86,2,1,2,2,1,0,0,2,1
1,79,39,54,4,1,1,0,0,0,1,0,1
0,88,82,47,8,1,0,0,1,1,0,1,1
1,85,54,61,12,0,0,1,1,1,1,0,0
1,88,57,63,18,1,2,2,1,1,1,2,0
0,56,30,42,15,0,1,0,0,1,0,2,1
1,97,86,79,8,1,0,2,1,0,0,2,0
0,93,90,63,12,0,1,1,1,1,1,0,1
1,54,52,59,15,0,2,2,1,1,1,1,0
0,76,75,91,13,1,2,0,1,0,1,2,0
1,94,49,97,7,1,1,1,1,0,1,2,1
0,85,67,50,12,0,1,0,0,0,1,1,1
0,62,42,66,10,1,0,0,0,0,0,2,0
1,82,91,54,10,1,1,0,0,0,0,1,1
0,51,41,36,3,1,0,2,0,1,0,0,1
0,94,44,54,1,1,0,1,0,1,0,2,1
1,89,87,74,5,0,1,0,0,0,0,0,0
0,54,41,49,16,0,0,1,1,1,0,0,1
0,92,92,77,17,0,0,1,1,0,1,0,0
0,90,92,37,18,1,2,0,1,1,1,0,0
0,67,51,65,12,0,0,0,1,0,0,0,0
0,63,91,81,3,1,0,2,0,1,0,2,0
1,53,75,76,14,1,2,0,1,1,0,2,1
0,83,84,99,6,0,0,1,1,1,1,0,1
0,98,81,94,3,1,2,0,1,1,1,2,0
0,88,92,89,12,0,1,0,0,1,1,2,1
0,99,55,54,1,0,2,2,0,1,1,1,1
0,94,55,99,5,0,1,1,0,0,1,0,0
1,69,93,77,15,1,0,1,1,1,1,0,1
0,79,60,64,17,0,2,2,1,0,1,2,1
0,59,46,33,2,1,2,2,0,0,1,0,1
0,78,56,81,13,1,0,2,1,0,1,1,1
0,59,52,58,7,1,2,2,0,0,1,1,0
1,75,80,34,1,1,2,2,1,1,0,1,0
1,55,90,31,1,1,1,1,1,1,0,2,1
0,53,97,59,5,1,1,2,1,0,1,1,0
1,58,91,46,8,1,0,1,0,0,1,0,0
0,55,89,68,8,1,0,2,0,0,1,1,0
1,83,61,46,13,0,1,1,0,0,1,2,1
0,72,38,47,1,0,2,2,1,1,1,1,0
0,77,76,86,6,0,0,2,0,0,0,1,0
0,58,39,56,11,1,2,1,1,1,1,0,0
1,61,69,98,19,1,2,0,0,0,0,2,0
1,72,93,80,12,0,2,2,0,0,1,2,1
0,99,99,80,8,1,1,2,1,1,1,2,0
1,97,85,75,8,0,1,1,0,0,1,2,1
0,72,75,71,12,0,2,2,1,1,0,1,1
0,66,72,82,12,0,1,0,0,0,1,2,1
1,98,47,79,15,0,1,1,1,1,1,1,0
0,81,98,71,19,1,2,1,0,1,0,0,0
0,50,84,44,12,1,0,0,1,1,0,1,0
0,54,93,64,12,0,0,0,0,0,1,1,0
1,94,65,68,11,0,0,1,1,1,0,1,1
1,60,31,59,3,0,1,1,0,1,1,0,1
1,70,42,84,3,1,0,0,0,0,0,0,0
0,61,44,44,5,0,1,0,0,1,1,1,0
1,83,74,83,12,0,0,1,1,0,0,2,1
1,97,92,79,13,0,2,1,0,1,0,1,1
1,77,38,90,13,0,1,0,1,1,1,2,0
0,67,69,96,7,0,1,2,1,0,0,0,0
0,51,42,36,4,0,0,1,1,1,1,0,1
0,50,58,55,5,0,1,2,1,0,1,0,0
0,53,60,87,12,1,0,1,1,1,0,0,1
0,56,89,70,13,0,0,0,1,1,0,0,0
1,52,97,89,16,0,2,1,0,0,1,0,0
0,85,58,41,1,0,2,1,0,0,1,1,0
1,69,33,96,10,0,2,1,1,0,1,0,0
1,88,34,84,1,1,2,2,1,1,0,1,1
1,67,89,73,13,0,2,2,0,1,0,1,0
1,50,67,34,1,1,2,0,1,0,0,2,1
0,54,78,75,11,0,0,1,0,1,0,2,1
0,90,89,36,12,1,0,1,1,1,1,0,0
1,51,99,58,11,1,0,2,0,0,0,0,0
1,80,90,56,17,0,0,0,0,0,1,0,1
1,51,70,38,5,1,2,0,1,1,0,2,0
0,86,97,36,19,1,1,1,1,0,0,0,1
1,82,53,63,4,1,1,2,0,0,0,2,0
1,87,55,95,9,1,1,2,1,0,0,0,1
0,63,63,56,18,1,0,0,1,0,0,1,0
0,94,43,89,14,0,2,1,1,1,1,0,0
0,72,41,41,14,0,2,2,0,1,1,1,0
0,83,78,83,2,0,2,1,1,0,1,0,0
1,53,75,40,17,1,0,1,1,0,0,1,0
1,78,41,72,18,0,2,1,1,1,0,0,1
1,94,69,89,18,0,1,1,1,1,0,2,1
0,87,99,35,19,0,0,0,0,1,0,2,0
1,90,44,71,16,1,0,0,1,1,0,1,1
0,97,85,82,15,1,2,2,1,0,1,2,0
1,68,58,43,15,1,0,2,1,0,1,2,0
0,54,87,64,16,0,0,1,1,0,0,1,0
1,77,42,69,11,0,0,2,1,1,1,0,0
0,70,42,38,18,1,0,2,1,1,1,0,0
0,83,85,58,5,1,1,0,1,1,1,2,1
1,68,86,87,11,1,1,1,0,0,1,0,0
0,89,70,39,18,0,2,1,0,0,0,1,1
1,79,54,78,19,0,0,2,1,0,1,0,1
1,78,44,67,18,0,0,2,1,0,0,0,1
0,53,75,76,9,1,1,2,0,0,0,0,1
0,54,56,43,17,0,1,1,0,1,0,0,1
0,96,54,58,7,0,0,2,0,0,0,2,1
1,52,93,47,12,0,0,1,0,0,0,0,1
1,67,90,89,18,0,0,2,1,1,1,1,1
1,51,73,63,19,0,2,0,1,0,0,0,0
1,91,49,30,18,0,0,0,1,0,0,1,0
0,84,77,84,9,1,1,1,0,1,0,2,1
0,97,70,89,7,1,0,1,1,1,1,2,0
1,96,34,71,10,1,2,1,1,0,1,1,1
0,75,50,73,19,1,1,0,1,0,0,0,1
0,80,41,49,12,0,2,2,1,0,1,0,0
0,80,71,96,16,0,0,2,1,1,0,2,1
0,78,81,37,1,1,0,2,0,1,0,2,1
1,87,54,86,14,1,2,2,1,0,1,0,1
0,50,89,48,15,1,1,0,1,1,0,0,1
0,84,91,59,17,0,0,2,0,0,0,1,1
0,75,36,68,8,1,2,2,0,1,0,0,0
1,78,48,82,10,1,0,2,0,0,0,1,1
1,82,73,55,7,0,1,2,1,0,0,0,0
0,92,96,37,11,0,2,0,0,0,0,2,0
0,65,63,35,13,0,1,0,0,0,1,1,1
0,59,44,40,5,1,2,2,0,1,1,0,1
0,83,70,49,13,0,0,0,0,1,0,0,0
1,54,51,70,4,1,0,0,1,1,0,0,0
1,86,63,42,2,1,1,1,0,1,1,2,0
0,77,33,40,14,1,0,1,1,0,0,0,0
1,80,84,73,6,1,2,1,1,0,0,0,0
0,81,31,78,16,1,2,0,0,0,1,0,0
0,99,44,69,2,1,1,2,1,0,1,0,1
0,78,68,58,2,0,0,1,0,1,1,1,0
0,89,58,46,8,1,2,0,0,1,0,2,1
0,65,89,50,13,0,2,2,1,1,0,1,1
0,71,41,84,17,0,1,1,0,0,1,1,0
0,71,33,30,11,1,1,0,1,0,0,1,1
