Gender,Attendance Rate (%),Course Engagement (%),Previous Academic Performance (%),Study Hours,Extracurricular,Mother Qualification,Father Qualification,Health Issues,Disciplinary Actions,Learning Disabilities,Socioeconomic Status,Risk
0,58.0,50.0,51.0,3.0,0,0,1,0,0,0,2,1
1,59.0,55.0,51.0,1.0,1,0,1,1,1,0,1,1
0,67.0,51.0,59.0,3.0,1,2,2,1,1,0,0,1
0,57.0,42.0,64.0,1.0,1,1,0,1,0,0,1,1
0,67.0,44.0,58.0,3.0,0,2,2,1,0,0,1,1
1,52.0,44.0,51.0,2.0,1,1,0,0,1,0,1,1
0,66.0,45.0,53.0,4.0,0,1,1,0,0,0,0,1
0,67.0,51.0,54.0,4.0,1,2,1,0,0,0,1,1
0,54.0,50.0,55.0,2.0,0,2,2,1,0,1,1,1
1,59.0,44.0,51.0,2.0,1,2,1,1,1,1,1,1
0,53.0,41.0,64.0,3.0,1,1,2,0,0,0,2,1
0,64.0,43.0,58.0,2.0,1,1,1,1,1,1,0,1
0,61.0,60.0,60.0,4.0,1,2,2,0,0,0,1,1
0,63.0,49.0,51.0,2.0,0,2,0,0,1,0,2,1
1,54.0,57.0,51.0,2.0,0,1,1,0,0,0,0,1
0,54.0,57.0,59.0,3.0,0,2,2,1,0,0,1,1
1,51.0,50.0,63.0,2.0,0,2,1,1,0,0,2,1
1,56.0,54.0,58.0,1.0,0,1,2,1,1,0,0,1
1,61.0,44.0,63.0,3.0,0,1,1,0,1,0,0,1
0,67.0,54.0,62.0,3.0,1,1,2,1,1,0,0,1
1,63.0,45.0,51.0,3.0,1,0,0,1,0,0,1,1
0,59.0,57.0,53.0,3.0,0,0,1,0,1,0,2,1
1,69.0,42.0,60.0,1.0,0,2,1,0,0,0,0,1
1,64.0,55.0,57.0,2.0,0,1,2,1,0,0,0,1
1,69.0,42.0,54.0,2.0,0,0,1,0,0,0,1,1
1,61.0,58.0,56.0,4.0,1,1,1,1,1,0,0,1
1,55.0,46.0,57.0,1.0,0,1,1,0,1,0,2,1
1,51.0,53.0,64.0,2.0,1,2,2,1,0,0,0,1
1,65.0,50.0,52.0,4.0,0,1,1,0,0,1,2,1
1,52.0,47.0,54.0,4.0,1,1,1,1,0,0,2,1
0,56.0,53.0,58.0,3.0,1,1,1,1,1,0,0,1
0,61.0,59.0,60.0,1.0,1,2,1,1,0,0,0,1
